"pathway"	"pval"	"padj"	"ES"	"NES"	"nMoreExtreme"	"size"
"BIOCARTA_CSK_PATHWAY"	0.449297971918877	0.755910202896176	0.402687504345765	1.00473308428568	287	15
"BIOCARTA_SRCRPTP_PATHWAY"	0.573825503355705	0.845744585991048	0.419407740477108	0.920146473537295	341	9
"BIOCARTA_ARAP_PATHWAY"	0.136950904392765	0.399052250904103	-0.488149132359542	-1.3214457032157	52	12
"BIOCARTA_AGR_PATHWAY"	0.174285714285714	0.460335600907029	0.439766607991205	1.26745814887203	121	30
"BIOCARTA_AKAP95_PATHWAY"	0.0218120805369128	0.11559013380071	0.736995438212905	1.61690805399356	12	9
"BIOCARTA_AKT_PATHWAY"	0.504373177842566	0.796677759461653	-0.310342728924734	-0.960318499625565	172	21
"BIOCARTA_AT1R_PATHWAY"	0.25887573964497	0.578990901571547	0.427213514132987	1.18514845282608	174	25
"BIOCARTA_ACE2_PATHWAY"	0.966019417475728	1	0.223847643722788	0.537455469889234	596	13
"BIOCARTA_ASBCELL_PATHWAY"	0.0223325062034739	0.116859403530128	-0.666394108709326	-1.71544888961334	8	10
"BIOCARTA_DNAFRAGMENT_PATHWAY"	0.0317195325542571	0.150374080257219	0.70698276877791	1.58500970920928	18	10
"BIOCARTA_CHEMICAL_PATHWAY"	0.205714285714286	0.506373626373626	-0.417170703839425	-1.23176591222469	71	17
"BIOCARTA_ATM_PATHWAY"	0.138719512195122	0.401433691756272	0.505315503374609	1.32185615715612	90	19
"BIOCARTA_AGPCR_PATHWAY"	0.672456575682382	0.901842707455137	-0.323501311024323	-0.832765412437336	270	10
"BIOCARTA_BCELLSURVIVAL_PATHWAY"	0.127423822714681	0.382041875670685	-0.459870215486234	-1.3166277752935	45	15
"BIOCARTA_BLYMPHOCYTE_PATHWAY"	0.486577181208054	0.784405656771563	0.456015574053075	1.00046108320675	289	9
"BIOCARTA_BCR_PATHWAY"	0.510729613733906	0.799417899587679	0.335503799392173	0.964180288710802	356	29
"BIOCARTA_BIOPEPTIDES_PATHWAY"	0.0588235294117647	0.231400361563065	-0.441069269601403	-1.44760207988196	18	26
"BIOCARTA_CACAM_PATHWAY"	0.414351851851852	0.730382925298179	-0.474903744548242	-1.03359216782551	178	6
"BIOCARTA_CDMAC_PATHWAY"	0.772853185595568	0.950126655869773	-0.275331539336461	-0.788285781285943	278	15
"BIOCARTA_CASPASE_PATHWAY"	0.74390243902439	0.933466222621971	0.306222358691877	0.801047875223507	487	19
"BIOCARTA_CBL_PATHWAY"	0.486042692939245	0.784405656771563	0.434171790308456	0.995552711955845	295	11
"BIOCARTA_CCR3_PATHWAY"	0.594285714285714	0.854058162147663	-0.305788413428176	-0.902891167926015	207	17
"BIOCARTA_CD40_PATHWAY"	0.184696569920844	0.476488515268659	-0.436998184793424	-1.23228151098899	69	14
"BIOCARTA_MCM_PATHWAY"	0.00161812297734628	0.0151155924967071	0.873812598530116	2.09801342076993	0	13
"BIOCARTA_G1_PATHWAY"	0.223858615611193	0.531360112755462	0.436144428769526	1.21730694005618	151	26
"BIOCARTA_G2_PATHWAY"	0.265151515151515	0.589068252619654	0.435557809820169	1.16720392398871	174	22
"BIOCARTA_CELL2CELL_PATHWAY"	0.45346062052506	0.75835022367206	-0.435971871951759	-0.993066746211914	189	7
"BIOCARTA_CERAMIDE_PATHWAY"	0.721212121212121	0.927035842104335	0.304455928643219	0.815878275126583	475	22
"BIOCARTA_CLASSIC_PATHWAY"	0.12807881773399	0.38262684507964	-0.553191318382859	-1.38375586762602	51	9
"BIOCARTA_COMP_PATHWAY"	0.316211878009631	0.647702679558441	0.460913786216714	1.12573837110501	196	14
