"ID" "X[[i]]"
"1" "BIOCARTA_CSK_PATHWAY" "crebbp"
"2" "BIOCARTA_CSK_PATHWAY" "cd247"
"3" "BIOCARTA_CSK_PATHWAY" "prkar2b"
"4" "BIOCARTA_CSK_PATHWAY" "zap70"
"5" "BIOCARTA_CSK_PATHWAY" "prkar2a"
"6" "BIOCARTA_CSK_PATHWAY" "prkacb"
"7" "BIOCARTA_CSK_PATHWAY" "prkar1b"
"8" "BIOCARTA_CSK_PATHWAY" "cd3e"
"9" "BIOCARTA_CSK_PATHWAY" "adcy1"
"10" "BIOCARTA_SRCRPTP_PATHWAY" "cdk1"
"11" "BIOCARTA_SRCRPTP_PATHWAY" "cdc25b"
"12" "BIOCARTA_ARAP_PATHWAY" "arap1"
"13" "BIOCARTA_ARAP_PATHWAY" "cyth1"
"14" "BIOCARTA_ARAP_PATHWAY" "arfgap3"
"15" "BIOCARTA_ARAP_PATHWAY" "arf1"
"16" "BIOCARTA_AGR_PATHWAY" "pak2"
"17" "BIOCARTA_AGR_PATHWAY" "cdc42"
"18" "BIOCARTA_AGR_PATHWAY" "musk"
"19" "BIOCARTA_AGR_PATHWAY" "chrna1"
"20" "BIOCARTA_AGR_PATHWAY" "jun"
"21" "BIOCARTA_AGR_PATHWAY" "lama2"
"22" "BIOCARTA_AGR_PATHWAY" "lama1"
"23" "BIOCARTA_AKAP95_PATHWAY" "ddx5"
"24" "BIOCARTA_AKAP95_PATHWAY" "cdk1"
"25" "BIOCARTA_AKAP95_PATHWAY" "ncapd2"
"26" "BIOCARTA_AKAP95_PATHWAY" "ppp2ca"
"27" "BIOCARTA_AKAP95_PATHWAY" "prkar2b"
"28" "BIOCARTA_AKAP95_PATHWAY" "prkar2a"
"29" "BIOCARTA_AKAP95_PATHWAY" "prkacb"
"30" "BIOCARTA_AKT_PATHWAY" "akt1"
"31" "BIOCARTA_AKT_PATHWAY" "nfkbia"
"32" "BIOCARTA_AKT_PATHWAY" "ikbkg"
"33" "BIOCARTA_AKT_PATHWAY" "rela"
"34" "BIOCARTA_AKT_PATHWAY" "fasl"
"35" "BIOCARTA_AT1R_PATHWAY" "map2k4"
"36" "BIOCARTA_AT1R_PATHWAY" "jun"
"37" "BIOCARTA_AT1R_PATHWAY" "map3k1"
"38" "BIOCARTA_AT1R_PATHWAY" "hras"
"39" "BIOCARTA_AT1R_PATHWAY" "ptk2b"
"40" "BIOCARTA_AT1R_PATHWAY" "calm3"
"41" "BIOCARTA_AT1R_PATHWAY" "shc1"
"42" "BIOCARTA_AT1R_PATHWAY" "raf1"
"43" "BIOCARTA_AT1R_PATHWAY" "agtrap"
"44" "BIOCARTA_AT1R_PATHWAY" "prkcb"
"45" "BIOCARTA_AT1R_PATHWAY" "pak1"
"46" "BIOCARTA_ACE2_PATHWAY" "ace"
"47" "BIOCARTA_ACE2_PATHWAY" "ren1"
"48" "BIOCARTA_ACE2_PATHWAY" "agtrap"
"49" "BIOCARTA_ACE2_PATHWAY" "col4a2"
"50" "BIOCARTA_ACE2_PATHWAY" "cma1"
"51" "BIOCARTA_ACE2_PATHWAY" "agtr2"
"52" "BIOCARTA_ASBCELL_PATHWAY" "il10"
"53" "BIOCARTA_ASBCELL_PATHWAY" "cd40lg"
"54" "BIOCARTA_ASBCELL_PATHWAY" "fasl"
"55" "BIOCARTA_ASBCELL_PATHWAY" "cd4"
"56" "BIOCARTA_ASBCELL_PATHWAY" "il4"
"57" "BIOCARTA_DNAFRAGMENT_PATHWAY" "hmgb1"
"58" "BIOCARTA_DNAFRAGMENT_PATHWAY" "top2a"
"59" "BIOCARTA_DNAFRAGMENT_PATHWAY" "top2b"
"60" "BIOCARTA_DNAFRAGMENT_PATHWAY" "casp3"
"61" "BIOCARTA_CHEMICAL_PATHWAY" "stat1"
"62" "BIOCARTA_CHEMICAL_PATHWAY" "trp53"
"63" "BIOCARTA_CHEMICAL_PATHWAY" "akt1"
"64" "BIOCARTA_ATM_PATHWAY" "chek1"
"65" "BIOCARTA_ATM_PATHWAY" "rad51"
"66" "BIOCARTA_ATM_PATHWAY" "mre11a"
"67" "BIOCARTA_ATM_PATHWAY" "rad50"
"68" "BIOCARTA_ATM_PATHWAY" "nbn"
"69" "BIOCARTA_ATM_PATHWAY" "rpa1"
"70" "BIOCARTA_ATM_PATHWAY" "nfkb1"
"71" "BIOCARTA_ATM_PATHWAY" "jun"
"72" "BIOCARTA_AGPCR_PATHWAY" "gnas"
"73" "BIOCARTA_BCELLSURVIVAL_PATHWAY" "mtor"
"74" "BIOCARTA_BCELLSURVIVAL_PATHWAY" "akt1"
"75" "BIOCARTA_BCELLSURVIVAL_PATHWAY" "dpf2"
"76" "BIOCARTA_BCELLSURVIVAL_PATHWAY" "cct4"
"77" "BIOCARTA_BLYMPHOCYTE_PATHWAY" "itgb2"
"78" "BIOCARTA_BLYMPHOCYTE_PATHWAY" "fcgr2b"
"79" "BIOCARTA_BLYMPHOCYTE_PATHWAY" "icam1"
"80" "BIOCARTA_BLYMPHOCYTE_PATHWAY" "itgal"
"81" "BIOCARTA_BCR_PATHWAY" "syk"
"82" "BIOCARTA_BCR_PATHWAY" "vav1"
"83" "BIOCARTA_BCR_PATHWAY" "btk"
"84" "BIOCARTA_BCR_PATHWAY" "jun"
"85" "BIOCARTA_BCR_PATHWAY" "ppp3cb"
