id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
Tsc1	4	1.0	1.0	1.0	19672	0	3.0073	2.9355e-15	4.7907e-06	0.001763	1	4	3.0073
Flcn	4	1.0	1.0	1.0	19671	0	2.702	3.5503e-14	4.7907e-06	0.001763	2	4	2.702
Lamtor2	4	1.0	1.0	1.0	19670	0	2.2819	5.506e-14	4.7907e-06	0.001763	3	4	2.2819
Tsc2	4	1.0	1.0	1.0	19669	0	2.8931	8.1761e-14	4.7907e-06	0.001763	4	4	2.8931
Lamtor4	4	1.0	1.0	1.0	19668	0	1.7039	1.5046e-13	4.7907e-06	0.001763	5	4	1.7039
Rraga	4	1.0	1.0	1.0	19667	0	2.0112	2.5538e-13	4.7907e-06	0.001763	6	4	2.0112
Rragc	4	1.0	1.0	1.0	19666	0	2.0648	3.585e-13	4.7907e-06	0.001763	7	4	2.0648
Lamtor1	4	1.0	1.0	1.0	19665	0	1.8643	2.6601e-11	4.7907e-06	0.001763	8	4	1.8643
Vps33a	4	1.0	1.0	1.0	19664	0	2.0067	3.0318e-11	4.7907e-06	0.001763	9	4	2.0067
Abca1	4	1.0	1.0	1.0	19663	0	1.8649	3.8129e-11	4.7907e-06	0.001763	10	4	1.8649
Prmt1	4	1.0	1.0	1.0	19662	0	2.3032	4.214e-11	4.7907e-06	0.001763	11	4	2.3032
Lamtor3	4	1.0	1.0	1.0	19661	0	1.9989	5.0145e-11	4.7907e-06	0.001763	12	4	1.9989
Ogt	4	1.0	1.0	1.0	19660	0	2.1956	5.8174e-11	4.7907e-06	0.001763	13	4	2.1956
Vps16	4	1.0	1.0	1.0	19659	0	1.7199	8.8102e-11	4.7907e-06	0.001763	14	4	1.7199
Abhd5	4	1.0	1.0	1.0	19658	0	1.8777	1.5961e-10	4.7907e-06	0.001763	15	4	1.8777
Runx1	4	1.0	1.0	1.0	19657	0	1.6538	5.5346e-10	4.7907e-06	0.001763	16	4	1.6538
Tbc1d7	4	1.0	1.0	1.0	19656	0	1.271	7.8353e-10	4.7907e-06	0.001763	17	4	1.271
Ube2m	4	1.0	1.0	1.0	19655	0	2.0192	2.7299e-09	9.3419e-06	0.001763	18	4	2.0192
Ptpn6	4	1.0	1.0	1.0	19654	0	1.1016	4.7121e-09	9.3419e-06	0.001763	19	4	1.1016
Acap2	4	1.0	1.0	1.0	19653	0	1.764	6.6788e-09	9.3419e-06	0.001763	20	4	1.764
Tbc1d2b	4	1.0	1.0	1.0	19652	0	1.4145	1.9691e-08	9.3419e-06	0.001763	21	4	1.4145
Pak2	4	1.0	1.0	1.0	19651	0	1.4486	2.214e-08	9.3419e-06	0.001763	22	4	1.4486
Pten	4	1.0	1.0	1.0	19650	0	1.1491	2.9261e-08	9.3419e-06	0.001763	23	4	1.1491
Uba3	4	1.0	1.0	1.0	19649	0	1.251	4.1662e-08	9.3419e-06	0.001763	24	4	1.251
Adam17	4	1.0	1.0	1.0	19648	0	1.7089	5.3277e-08	9.3419e-06	0.001763	25	4	1.7089
Snx13	4	1.0	1.0	1.0	19635	0	1.3899	6.5058e-08	9.3419e-06	0.001763	26	4	1.3899
Ppp4c	4	1.0	1.0	1.0	19647	0	1.6386	6.7166e-08	9.3419e-06	0.001763	27	4	1.6386
Pelo	4	1.0	1.0	1.0	19646	0	1.1892	8.6111e-08	9.3419e-06	0.001763	28	4	1.1892
Rhbdf2	4	1.0	1.0	1.0	19645	0	1.2602	1.2502e-07	9.3419e-06	0.001763	29	4	1.2602
Rangap1	4	1.0	1.0	1.0	19644	0	1.2301	1.2977e-07	9.3419e-06	0.001763	30	4	1.2301
Cbfb	4	1.0	1.0	1.0	19643	0	1.5858	1.4709e-07	9.3419e-06	0.001763	31	4	1.5858
Ankrd11	4	1.0	1.0	1.0	19642	0	1.184	1.5052e-07	9.3419e-06	0.001763	32	4	1.184
Nedd8	4	1.0	1.0	1.0	19641	0	2.0018	1.5876e-07	9.3419e-06	0.001763	33	4	2.0018
Lsm11	4	1.0	1.0	1.0	19640	0	1.563	1.9703e-07	9.3419e-06	0.001763	34	4	1.563
Xrcc3	4	1.0	1.0	1.0	19614	0	1.5862	2.5423e-07	9.3419e-06	0.001763	35	4	1.5862
Ppil4	4	1.0	1.0	1.0	19639	0	1.4098	2.7769e-07	9.3419e-06	0.001763	36	4	1.4098
Arf6	4	1.0	1.0	1.0	19638	0	1.0009	2.926e-07	9.3419e-06	0.001763	37	4	1.0009
Rpl17	4	1.0	1.0	1.0	19637	0	3.6225	2.9514e-07	9.3419e-06	0.001763	38	4	3.6225
Hdac1	4	1.0	1.0	1.0	19636	0	0.95846	3.0481e-07	9.3419e-06	0.001763	39	4	0.95846
Setd2	4	1.0	1.0	1.0	19599	0	1.2278	3.2751e-07	9.3419e-06	0.001763	40	4	1.2278
Terf1	4	1.0	1.0	1.0	19634	0	1.4429	3.3808e-07	9.3419e-06	0.001763	41	4	1.4429
Snx14	4	0.99999	1.0	1.0	19582	0	1.1597	3.3901e-07	9.3419e-06	0.001763	42	4	1.1597
Fbxw11	4	1.0	1.0	1.0	19633	0	1.1505	3.6946e-07	9.3419e-06	0.001763	43	4	1.1505
Hist1h3a	4	0.96206	0.98413	1.0	18294	0	2.3232	3.9406e-07	9.3419e-06	0.001763	44	3	2.3232
Pnpla2	4	1.0	1.0	1.0	19632	0	1.3946	4.2936e-07	9.3419e-06	0.001763	45	4	1.3946
Mybl2	4	1.0	1.0	1.0	19631	0	1.0386	4.6593e-07	9.3419e-06	0.001763	46	4	1.0386
Gm10406	4	1.0	1.0	1.0	19630	0	1.5408	4.7315e-07	9.3419e-06	0.001763	47	4	1.5408
Sod1	4	1.0	1.0	1.0	19629	0	1.7145	5.6652e-07	9.3419e-06	0.001763	48	4	1.7145
Birc5	4	1.0	1.0	1.0	19628	0	1.86	5.7698e-07	9.3419e-06	0.001763	49	4	1.86
Nrde2	4	0.99883	0.9998	1.0	19354	0	1.967	6.8278e-07	9.3419e-06	0.001763	50	4	1.967
Tgfbr2	4	1.0	1.0	1.0	19627	0	0.95956	7.1667e-07	9.3419e-06	0.001763	51	4	0.95956
Orc4	4	1.0	1.0	1.0	19626	0	1.1054	7.8599e-07	9.3419e-06	0.001763	52	4	1.1054
Ap3b1	4	0.99999	1.0	1.0	19581	0	1.0653	8.314e-07	9.3419e-06	0.001763	53	4	1.0653
Dr1	4	1.0	1.0	1.0	19625	0	0.99666	8.5738e-07	9.3419e-06	0.001763	54	4	0.99666
Lsm10	4	1.0	1.0	1.0	19624	0	1.2468	9.0072e-07	9.3419e-06	0.001763	55	4	1.2468
Ddx42	4	1.0	1.0	1.0	19623	0	1.1184	9.1404e-07	9.3419e-06	0.001763	56	4	1.1184
Rfwd2	4	1.0	1.0	1.0	19622	0	1.4089	1.1233e-06	9.3419e-06	0.001763	57	4	1.4089
Bach1	4	1.0	1.0	1.0	19621	0	1.5955	1.1426e-06	9.3419e-06	0.001763	58	4	1.5955
Strap	4	1.0	1.0	1.0	19620	0	0.92131	1.1981e-06	9.3419e-06	0.001763	59	4	0.92131
